page,section,description
Overview,Overview,The dashboard contains data for neighborhood schools similar to the Centers data that you are welcome to explore at anytime. The data on this dashboard is not a requirement of the SPA Capstone project but is provided to help students relate the Regional Growth Centers that they visited with the neighborhoods that they live in.
Glossary,Overview,The following terms are defined according to their intended use in this dashboard.
